Month,Category,Account,Department,Budget_Amount
2025-02,Cost of Revenue,Payment Processing Fees,Finance,7800
2025-02,Cost of Revenue,Third-Party Software Licenses,Operations,5500
2025-02,Sales & Marketing,Digital Marketing & Advertising,Marketing,40000
2025-02,Sales & Marketing,Sales Team Salaries,Sales,65000
2025-02,Sales & Marketing,Marketing Team Salaries,Marketing,35000
2025-02,Sales & Marketing,Sales Commissions,Sales,21000
2025-02,Sales & Marketing,Marketing Tools & Platforms,Marketing,8500
2025-02,Sales & Marketing,Events & Conferences,Marketing,10000
2025-02,Sales & Marketing,Sales Development Tools,Sales,4500
2025-02,Research & Development,Engineering Team Salaries,Engineering,95000
2025-02,Research & Development,Product Team Salaries,Product,40000
2025-02,Research & Development,Development Tools & Software,Engineering,12000
2025-02,Research & Development,QA & Testing,Engineering,8500
2025-02,Research & Development,Cloud Development Environment,Engineering,6500
2025-02,General & Administrative,Executive Team Salaries,Executive,55000
2025-02,General & Administrative,Finance Team Salaries,Finance,25000
2025-02,General & Administrative,Operations Team Salaries,Operations,30000
2025-02,General & Administrative,Office Rent & Facilities,Operations,18000
2025-02,General & Administrative,Legal & Compliance,Finance,8500
2025-02,General & Administrative,Accounting & Audit Fees,Finance,7500
2025-02,General & Administrative,HR & Recruiting,Operations,10000
2025-02,General & Administrative,Insurance,Finance,4500
2025-02,General & Administrative,IT & Office Equipment,Operations,6000
2025-02,General & Administrative,Office Supplies & Misc,Operations,2500
2025-03,Revenue,Subscription Revenue - Starter,Sales,43000
2025-03,Revenue,Subscription Revenue - Professional,Sales,82000
2025-03,Revenue,Subscription Revenue - Enterprise,Sales,115000
2025-03,Revenue,Professional Services Revenue,Customer Success,24000
2025-03,Revenue,Setup & Onboarding Fees,Customer Success,7500
2025-03,Cost of Revenue,Cloud Hosting & Infrastructure,Operations,30000
2025-03,Cost of Revenue,Customer Support Salaries,Customer Success,28000
2025-03,Cost of Revenue,Payment Processing Fees,Finance,7800
2025-03,Cost of Revenue,Third-Party Software Licenses,Operations,5500
2025-03,Sales & Marketing,Digital Marketing & Advertising,Marketing,40000
2025-03,Sales & Marketing,Sales Team Salaries,Sales,65000
2025-03,Sales & Marketing,Marketing Team Salaries,Marketing,35000
2025-03,Sales & Marketing,Sales Commissions,Sales,21000
2025-03,Sales & Marketing,Marketing Tools & Platforms,Marketing,8500
2025-03,Sales & Marketing,Events & Conferences,Marketing,10000
2025-03,Sales & Marketing,Sales Development Tools,Sales,4500
2025-03,Research & Development,Engineering Team Salaries,Engineering,95000
2025-03,Research & Development,Product Team Salaries,Product,40000
2025-03,Research & Development,Development Tools & Software,Engineering,12000
2025-03,Research & Development,QA & Testing,Engineering,8500
2025-03,Research & Development,Cloud Development Environment,Engineering,6500
2025-03,General & Administrative,Executive Team Salaries,Executive,55000
2025-03,General & Administrative,Finance Team Salaries,Finance,25000
2025-03,General & Administrative,Operations Team Salaries,Operations,30000
2025-03,General & Administrative,Office Rent & Facilities,Operations,18000
2025-03,General & Administrative,Legal & Compliance,Finance,8500
2025-03,General & Administrative,Accounting & Audit Fees,Finance,7500
2025-03,General & Administrative,HR & Recruiting,Operations,10000
2025-03,General & Administrative,Insurance,Finance,4500
2025-03,General & Administrative,IT & Office Equipment,Operations,6000
2025-03,General & Administrative,Office Supplies & Misc,Operations,2500
2025-04,Revenue,Subscription Revenue - Starter,Sales,43000
2025-04,Revenue,Subscription Revenue - Professional,Sales,82000
2025-04,Revenue,Subscription Revenue - Enterprise,Sales,115000
2025-04,Revenue,Professional Services Revenue,Customer Success,24000
2025-04,Revenue,Setup & Onboarding Fees,Customer Success,7500
2025-04,Cost of Revenue,Cloud Hosting & Infrastructure,Operations,30000
2025-04,Cost of Revenue,Customer Support Salaries,Customer Success,28000
2025-04,Cost of Revenue,Payment Processing Fees,Finance,7800
2025-04,Cost of Revenue,Third-Party Software Licenses,Operations,5500
2025-04,Sales & Marketing,Digital Marketing & Advertising,Marketing,40000
2025-04,Sales & Marketing,Sales Team Salaries,Sales,65000
2025-04,Sales & Marketing,Marketing Team Salaries,Marketing,35000
2025-04,Sales & Marketing,Sales Commissions,Sales,21000
2025-04,Sales & Marketing,Marketing Tools & Platforms,Marketing,8500
2025-04,Sales & Marketing,Events & Conferences,Marketing,10000
2025-04,Sales & Marketing,Sales Development Tools,Sales,4500
2025-04,Research & Development,Engineering Team Salaries,Engineering,95000
2025-04,Research & Development,Product Team Salaries,Product,40000
2025-04,Research & Development,Development Tools & Software,Engineering,12000
2025-04,Research & Development,QA & Testing,Engineering,8500
2025-04,Research & Development,Cloud Development Environment,Engineering,6500
2025-04,General & Administrative,Executive Team Salaries,Executive,55000
2025-04,General & Administrative,Finance Team Salaries,Finance,25000
2025-04,General & Administrative,Operations Team Salaries,Operations,30000
2025-04,General & Administrative,Office Rent & Facilities,Operations,18000
2025-04,General & Administrative,Legal & Compliance,Finance,8500
2025-04,General & Administrative,Accounting & Audit Fees,Finance,7500
2025-04,General & Administrative,HR & Recruiting,Operations,10000
2025-04,General & Administrative,Insurance,Finance,4500
2025-04,General & Administrative,IT & Office Equipment,Operations,6000
2025-04,General & Administrative,Office Supplies & Misc,Operations,2500
2025-05,Revenue,Subscription Revenue - Starter,Sales,43000
2025-05,Revenue,Subscription Revenue - Professional,Sales,82000
2025-05,Revenue,Subscription Revenue - Enterprise,Sales,115000
2025-05,Revenue,Professional Services Revenue,Customer Success,24000
2025-05,Revenue,Setup & Onboarding Fees,Customer Success,7500
2025-05,Cost of Revenue,Cloud Hosting & Infrastructure,Operations,30000
2025-05,Cost of Revenue,Customer Support Salaries,Customer Success,28000
2025-05,Cost of Revenue,Payment Processing Fees,Finance,7800
2025-05,Cost of Revenue,Third-Party Software Licenses,Operations,5500
2025-05,Sales & Marketing,Digital Marketing & Advertising,Marketing,40000
2025-05,Sales & Marketing,Sales Team Salaries,Sales,65000
2025-05,Sales & Marketing,Marketing Team Salaries,Marketing,35000
2025-05,Sales & Marketing,Sales Commissions,Sales,21000
2025-05,Sales & Marketing,Marketing Tools & Platforms,Marketing,8500
2025-05,Sales & Marketing,Events & Conferences,Marketing,10000
2025-05,Sales & Marketing,Sales Development Tools,Sales,4500
2025-05,Research & Development,Engineering Team Salaries,Engineering,95000
2025-05,Research & Development,Product Team Salaries,Product,40000
2025-05,Research & Development,Development Tools & Software,Engineering,12000
2025-05,Research & Development,QA & Testing,Engineering,8500
2025-05,Research & Development,Cloud Development Environment,Engineering,6500
2025-05,General & Administrative,Executive Team Salaries,Executive,55000
2025-05,General & Administrative,Finance Team Salaries,Finance,25000
2025-05,General & Administrative,Operations Team Salaries,Operations,30000
2025-05,General & Administrative,Office Rent & Facilities,Operations,18000
2025-05,General & Administrative,Legal & Compliance,Finance,8500
2025-05,General & Administrative,Accounting & Audit Fees,Finance,7500
2025-05,General & Administrative,HR & Recruiting,Operations,10000
2025-05,General & Administrative,Insurance,Finance,4500
2025-05,General & Administrative,IT & Office Equipment,Operations,6000
2025-05,General & Administrative,Office Supplies & Misc,Operations,2500
2025-06,Revenue,Subscription Revenue - Starter,Sales,43000
2025-06,Revenue,Subscription Revenue - Professional,Sales,82000
2025-06,Revenue,Subscription Revenue - Enterprise,Sales,115000
2025-06,Revenue,Professional Services Revenue,Customer Success,24000
2025-06,Revenue,Setup & Onboarding Fees,Customer Success,7500
2025-06,Cost of Revenue,Cloud Hosting & Infrastructure,Operations,30000
2025-06,Cost of Revenue,Customer Support Salaries,Customer Success,28000
2025-06,Cost of Revenue,Payment Processing Fees,Finance,7800
2025-06,Cost of Revenue,Third-Party Software Licenses,Operations,5500
2025-06,Sales & Marketing,Digital Marketing & Advertising,Marketing,40000
2025-06,Sales & Marketing,Sales Team Salaries,Sales,65000
2025-06,Sales & Marketing,Marketing Team Salaries,Marketing,35000
2025-06,Sales & Marketing,Sales Commissions,Sales,21000
2025-06,Sales & Marketing,Marketing Tools & Platforms,Marketing,8500
2025-06,Sales & Marketing,Events & Conferences,Marketing,10000
2025-06,Sales & Marketing,Sales Development Tools,Sales,4500
2025-06,Research & Development,Engineering Team Salaries,Engineering,95000
2025-06,Research & Development,Product Team Salaries,Product,40000
2025-06,Research & Development,Development Tools & Software,Engineering,12000
2025-06,Research & Development,QA & Testing,Engineering,8500
2025-06,Research & Development,Cloud Development Environment,Engineering,6500
2025-06,General & Administrative,Executive Team Salaries,Executive,55000
2025-06,General & Administrative,Finance Team Salaries,Finance,25000
2025-06,General & Administrative,Operations Team Salaries,Operations,30000
2025-06,General & Administrative,Office Rent & Facilities,Operations,18000
2025-06,General & Administrative,Legal & Compliance,Finance,8500
2025-06,General & Administrative,Accounting & Audit Fees,Finance,7500
2025-06,General & Administrative,HR & Recruiting,Operations,10000
2025-06,General & Administrative,Insurance,Finance,4500
2025-06,General & Administrative,IT & Office Equipment,Operations,6000
2025-06,General & Administrative,Office Supplies & Misc,Operations,2500
2025-07,Revenue,Subscription Revenue - Starter,Sales,43000
2025-07,Revenue,Subscription Revenue - Professional,Sales,82000
2025-07,Revenue,Subscription Revenue - Enterprise,Sales,115000
2025-07,Revenue,Professional Services Revenue,Customer Success,24000
2025-07,Revenue,Setup & Onboarding Fees,Customer Success,7500
2025-07,Cost of Revenue,Cloud Hosting & Infrastructure,Operations,30000
2025-07,Cost of Revenue,Customer Support Salaries,Customer Success,28000
2025-07,Cost of Revenue,Payment Processing Fees,Finance,7800
2025-07,Cost of Revenue,Third-Party Software Licenses,Operations,5500
2025-07,Sales & Marketing,Digital Marketing & Advertising,Marketing,48000
2025-07,Sales & Marketing,Sales Team Salaries,Sales,65000
2025-07,Sales & Marketing,Marketing Team Salaries,Marketing,35000
2025-07,Sales & Marketing,Sales Commissions,Sales,21000
2025-07,Sales & Marketing,Marketing Tools & Platforms,Marketing,8500
2025-07,Sales & Marketing,Events & Conferences,Marketing,10000
2025-07,Sales & Marketing,Sales Development Tools,Sales,4500
2025-07,Research & Development,Engineering Team Salaries,Engineering,105000
2025-07,Research & Development,Product Team Salaries,Product,40000
2025-07,Research & Development,Development Tools & Software,Engineering,12000
2025-07,Research & Development,QA & Testing,Engineering,8500
2025-07,Research & Development,Cloud Development Environment,Engineering,6500
2025-07,General & Administrative,Executive Team Salaries,Executive,55000
2025-07,General & Administrative,Finance Team Salaries,Finance,25000
2025-07,General & Administrative,Operations Team Salaries,Operations,30000
2025-07,General & Administrative,Office Rent & Facilities,Operations,18000
2025-07,General & Administrative,Legal & Compliance,Finance,8500
2025-07,General & Administrative,Accounting & Audit Fees,Finance,7500
2025-07,General & Administrative,HR & Recruiting,Operations,12000
2025-07,General & Administrative,Insurance,Finance,4500
2025-07,General & Administrative,IT & Office Equipment,Operations,6000
2025-07,General & Administrative,Office Supplies & Misc,Operations,2500
2025-08,Revenue,Subscription Revenue - Starter,Sales,43000
2025-08,Revenue,Subscription Revenue - Professional,Sales,82000
2025-08,Revenue,Subscription Revenue - Enterprise,Sales,115000
2025-08,Revenue,Professional Services Revenue,Customer Success,24000
2025-08,Revenue,Setup & Onboarding Fees,Customer Success,7500
2025-08,Cost of Revenue,Cloud Hosting & Infrastructure,Operations,30000
2025-08,Cost of Revenue,Customer Support Salaries,Customer Success,28000
2025-08,Cost of Revenue,Payment Processing Fees,Finance,7800
2025-08,Cost of Revenue,Third-Party Software Licenses,Operations,5500
2025-08,Sales & Marketing,Digital Marketing & Advertising,Marketing,48000
2025-08,Sales & Marketing,Sales Team Salaries,Sales,65000
2025-08,Sales & Marketing,Marketing Team Salaries,Marketing,35000
2025-08,Sales & Marketing,Sales Commissions,Sales,21000
2025-08,Sales & Marketing,Marketing Tools & Platforms,Marketing,8500
2025-08,Sales & Marketing,Events & Conferences,Marketing,10000
2025-08,Sales & Marketing,Sales Development Tools,Sales,4500
2025-08,Research & Development,Engineering Team Salaries,Engineering,105000
2025-08,Research & Development,Product Team Salaries,Product,40000
2025-08,Research & Development,Development Tools & Software,Engineering,12000
2025-08,Research & Development,QA & Testing,Engineering,8500
2025-08,Research & Development,Cloud Development Environment,Engineering,6500
2025-08,General & Administrative,Executive Team Salaries,Executive,55000
2025-08,General & Administrative,Finance Team Salaries,Finance,25000
2025-08,General & Administrative,Operations Team Salaries,Operations,30000
2025-08,General & Administrative,Office Rent & Facilities,Operations,18000
2025-08,General & Administrative,Legal & Compliance,Finance,8500
2025-08,General & Administrative,Accounting & Audit Fees,Finance,7500
2025-08,General & Administrative,HR & Recruiting,Operations,12000
2025-08,General & Administrative,Insurance,Finance,4500
2025-08,General & Administrative,IT & Office Equipment,Operations,6000
2025-08,General & Administrative,Office Supplies & Misc,Operations,2500
2025-09,Revenue,Subscription Revenue - Starter,Sales,43000
2025-09,Revenue,Subscription Revenue - Professional,Sales,82000
2025-09,Revenue,Subscription Revenue - Enterprise,Sales,115000
2025-09,Revenue,Professional Services Revenue,Customer Success,24000
2025-09,Revenue,Setup & Onboarding Fees,Customer Success,7500
2025-09,Cost of Revenue,Cloud Hosting & Infrastructure,Operations,30000
2025-09,Cost of Revenue,Customer Support Salaries,Customer Success,28000
2025-09,Cost of Revenue,Payment Processing Fees,Finance,7800
2025-09,Cost of Revenue,Third-Party Software Licenses,Operations,5500
2025-09,Sales & Marketing,Digital Marketing & Advertising,Marketing,48000
2025-09,Sales & Marketing,Sales Team Salaries,Sales,65000
2025-09,Sales & Marketing,Marketing Team Salaries,Marketing,35000
2025-09,Sales & Marketing,Sales Commissions,Sales,21000
2025-09,Sales & Marketing,Marketing Tools & Platforms,Marketing,8500
2025-09,Sales & Marketing,Events & Conferences,Marketing,10000
2025-09,Sales & Marketing,Sales Development Tools,Sales,4500
2025-09,Research & Development,Engineering Team Salaries,Engineering,105000
2025-09,Research & Development,Product Team Salaries,Product,40000
2025-09,Research & Development,Development Tools & Software,Engineering,12000
2025-09,Research & Development,QA & Testing,Engineering,8500
2025-09,Research & Development,Cloud Development Environment,Engineering,6500
2025-09,General & Administrative,Executive Team Salaries,Executive,55000
2025-09,General & Administrative,Finance Team Salaries,Finance,25000
2025-09,General & Administrative,Operations Team Salaries,Operations,30000
2025-09,General & Administrative,Office Rent & Facilities,Operations,18000
2025-09,General & Administrative,Legal & Compliance,Finance,8500
2025-09,General & Administrative,Accounting & Audit Fees,Finance,7500
2025-09,General & Administrative,HR & Recruiting,Operations,12000
2025-09,General & Administrative,Insurance,Finance,4500
2025-09,General & Administrative,IT & Office Equipment,Operations,6000
2025-09,General & Administrative,Office Supplies & Misc,Operations,2500
2025-10,Revenue,Subscription Revenue - Starter,Sales,43000
2025-10,Revenue,Subscription Revenue - Professional,Sales,82000
2025-10,Revenue,Subscription Revenue - Enterprise,Sales,115000
2025-10,Revenue,Professional Services Revenue,Customer Success,24000
2025-10,Revenue,Setup & Onboarding Fees,Customer Success,7500
2025-10,Cost of Revenue,Cloud Hosting & Infrastructure,Operations,30000
2025-10,Cost of Revenue,Customer Support Salaries,Customer Success,28000
2025-10,Cost of Revenue,Payment Processing Fees,Finance,7800
2025-10,Cost of Revenue,Third-Party Software Licenses,Operations,5500
2025-10,Sales & Marketing,Digital Marketing & Advertising,Marketing,48000
2025-10,Sales & Marketing,Sales Team Salaries,Sales,65000
2025-10,Sales & Marketing,Marketing Team Salaries,Marketing,35000
2025-10,Sales & Marketing,Sales Commissions,Sales,21000
2025-10,Sales & Marketing,Marketing Tools & Platforms,Marketing,8500
2025-10,Sales & Marketing,Events & Conferences,Marketing,10000
2025-10,Sales & Marketing,Sales Development Tools,Sales,4500
2025-10,Research & Development,Engineering Team Salaries,Engineering,105000
2025-10,Research & Development,Product Team Salaries,Product,40000
2025-10,Research & Development,Development Tools & Software,Engineering,12000
2025-10,Research & Development,QA & Testing,Engineering,8500
2025-10,Research & Development,Cloud Development Environment,Engineering,6500
2025-10,General & Administrative,Executive Team Salaries,Executive,55000
2025-10,General & Administrative,Finance Team Salaries,Finance,25000
2025-10,General & Administrative,Operations Team Salaries,Operations,30000
2025-10,General & Administrative,Office Rent & Facilities,Operations,18000
2025-10,General & Administrative,Legal & Compliance,Finance,8500
2025-10,General & Administrative,Accounting & Audit Fees,Finance,7500
2025-10,General & Administrative,HR & Recruiting,Operations,12000
2025-10,General & Administrative,Insurance,Finance,4500
2025-10,General & Administrative,IT & Office Equipment,Operations,6000
2025-10,General & Administrative,Office Supplies & Misc,Operations,2500
2025-11,Revenue,Subscription Revenue - Starter,Sales,43000
2025-11,Revenue,Subscription Revenue - Professional,Sales,82000
2025-11,Revenue,Subscription Revenue - Enterprise,Sales,115000
2025-11,Revenue,Professional Services Revenue,Customer Success,24000
2025-11,Revenue,Setup & Onboarding Fees,Customer Success,7500
2025-11,Cost of Revenue,Cloud Hosting & Infrastructure,Operations,30000
2025-11,Cost of Revenue,Customer Support Salaries,Customer Success,28000
2025-11,Cost of Revenue,Payment Processing Fees,Finance,7800
2025-11,Cost of Revenue,Third-Party Software Licenses,Operations,5500
2025-11,Sales & Marketing,Digital Marketing & Advertising,Marketing,48000
2025-11,Sales & Marketing,Sales Team Salaries,Sales,65000
2025-11,Sales & Marketing,Marketing Team Salaries,Marketing,35000
2025-11,Sales & Marketing,Sales Commissions,Sales,21000
2025-11,Sales & Marketing,Marketing Tools & Platforms,Marketing,8500
2025-11,Sales & Marketing,Events & Conferences,Marketing,10000
2025-11,Sales & Marketing,Sales Development Tools,Sales,4500
2025-11,Research & Development,Engineering Team Salaries,Engineering,105000
2025-11,Research & Development,Product Team Salaries,Product,40000
2025-11,Research & Development,Development Tools & Software,Engineering,12000
2025-11,Research & Development,QA & Testing,Engineering,8500
2025-11,Research & Development,Cloud Development Environment,Engineering,6500
2025-11,General & Administrative,Executive Team Salaries,Executive,55000
2025-11,General & Administrative,Finance Team Salaries,Finance,25000
2025-11,General & Administrative,Operations Team Salaries,Operations,30000
2025-11,General & Administrative,Office Rent & Facilities,Operations,18000
2025-11,General & Administrative,Legal & Compliance,Finance,8500
2025-11,General & Administrative,Accounting & Audit Fees,Finance,7500
2025-11,General & Administrative,HR & Recruiting,Operations,12000
2025-11,General & Administrative,Insurance,Finance,4500
2025-11,General & Administrative,IT & Office Equipment,Operations,6000
2025-11,General & Administrative,Office Supplies & Misc,Operations,2500
2025-12,Revenue,Subscription Revenue - Starter,Sales,43000
2025-12,Revenue,Subscription Revenue - Professional,Sales,82000
2025-12,Revenue,Subscription Revenue - Enterprise,Sales,115000
2025-12,Revenue,Professional Services Revenue,Customer Success,24000
2025-12,Revenue,Setup & Onboarding Fees,Customer Success,7500
2025-12,Cost of Revenue,Cloud Hosting & Infrastructure,Operations,30000
2025-12,Cost of Revenue,Customer Support Salaries,Customer Success,28000
2025-12,Cost of Revenue,Payment Processing Fees,Finance,7800
2025-12,Cost of Revenue,Third-Party Software Licenses,Operations,5500
2025-12,Sales & Marketing,Digital Marketing & Advertising,Marketing,48000
2025-12,Sales & Marketing,Sales Team Salaries,Sales,65000
2025-12,Sales & Marketing,Marketing Team Salaries,Marketing,35000
2025-12,Sales & Marketing,Sales Commissions,Sales,21000
2025-12,Sales & Marketing,Marketing Tools & Platforms,Marketing,8500
2025-12,Sales & Marketing,Events & Conferences,Marketing,10000
2025-12,Sales & Marketing,Sales Development Tools,Sales,4500
2025-12,Research & Development,Engineering Team Salaries,Engineering,105000
2025-12,Research & Development,Product Team Salaries,Product,40000
2025-12,Research & Development,Development Tools & Software,Engineering,12000
2025-12,Research & Development,QA & Testing,Engineering,8500
2025-12,Research & Development,Cloud Development Environment,Engineering,6500
2025-12,General & Administrative,Executive Team Salaries,Executive,55000
2025-12,General & Administrative,Finance Team Salaries,Finance,25000
2025-12,General & Administrative,Operations Team Salaries,Operations,30000
2025-12,General & Administrative,Office Rent & Facilities,Operations,18000
2025-12,General & Administrative,Legal & Compliance,Finance,8500
2025-12,General & Administrative,Accounting & Audit Fees,Finance,7500
2025-12,General & Administrative,HR & Recruiting,Operations,12000
2025-12,General & Administrative,Insurance,Finance,4500
2025-12,General & Administrative,IT & Office Equipment,Operations,6000
2025-12,General & Administrative,Office Supplies & Misc,Operations,2500
